393939  s01-nominal          none        base     posErr=   25.67 rotErr= 0.0347 grid=  0.2347 ownT=    0.4mm ownR=   24.3mm
393939  s01-nominal          none        tie+box  posErr=   15.30 rotErr= 0.0362 grid=  0.1511 ownT=    0.3mm ownR=   15.3mm
393939  s01-nominal          tangential  base     posErr=   25.31 rotErr= 0.0708 grid=  0.2412 ownT=    0.3mm ownR=   15.3mm
393939  s01-nominal          tangential  tie+box  posErr=   13.52 rotErr= 0.0737 grid=  0.2064 ownT=    0.3mm ownR=   15.3mm
393939  s01-nominal          pointing    base     posErr=   25.55 rotErr= 0.0371 grid=  0.3358 ownT=    0.3mm ownR=   15.3mm
393939  s01-nominal          pointing    tie+box  posErr=   23.07 rotErr= 0.0391 grid=  0.1696 ownT=    0.3mm ownR=   15.3mm
393939  s01-nominal          radial      base     posErr=   33.66 rotErr= 0.0332 grid=  0.1875 ownT=    0.3mm ownR=   15.3mm
393939  s01-nominal          radial      tie+box  posErr=   22.13 rotErr= 0.0397 grid=  0.1735 ownT=    0.3mm ownR=   15.3mm
# G1 393939 s01-nominal          base     TANGENTIAL   181.1mm of 181 (1.000x, cross -12.5mm) | RADIAL   123.1mm (0.680x) | POINTING dYaw=0.9722 dShiftAsYaw=0.0275 dPointing=0.9997 (1.000x) | ownT=0.3mm
# G1 393939 s01-nominal          tie+box  TANGENTIAL   181.0mm of 181 (1.000x, cross -2.7mm) | RADIAL   169.8mm (0.938x) | POINTING dYaw=1.0121 dShiftAsYaw=-0.0124 dPointing=0.9997 (1.000x) | ownT=0.3mm
393939  s04-handheld         none        base     posErr=  166.73 rotErr= 0.6548 grid=  3.0711 ownT=    8.0mm ownR=   71.2mm
393939  s04-handheld         none        tie+box  posErr=   76.53 rotErr= 0.6875 grid=  3.4669 ownT=    9.0mm ownR=   52.9mm
393939  s04-handheld         tangential  base     posErr=  143.72 rotErr= 0.8846 grid=  2.6405 ownT=    9.0mm ownR=   52.9mm
393939  s04-handheld         tangential  tie+box  posErr=   90.33 rotErr= 0.7699 grid=  2.2156 ownT=    9.0mm ownR=   52.9mm
393939  s04-handheld         pointing    base     posErr=  481.66 rotErr= 3.3367 grid=  8.1060 ownT=    9.0mm ownR=   52.9mm
393939  s04-handheld         pointing    tie+box  posErr=   84.20 rotErr= 0.7672 grid=  4.2705 ownT=    9.0mm ownR=   52.9mm
393939  s04-handheld         radial      base     posErr=  216.25 rotErr= 0.4001 grid=  2.9854 ownT=    9.0mm ownR=   52.9mm
393939  s04-handheld         radial      tie+box  posErr=   69.87 rotErr= 0.6053 grid=  3.3975 ownT=    9.0mm ownR=   52.9mm
# G1 393939 s04-handheld         base     TANGENTIAL   176.8mm of 181 (0.977x, cross -214.9mm) | RADIAL   -17.2mm (-0.095x) | POINTING dYaw=0.8559 dShiftAsYaw=0.1401 dPointing=0.9960 (0.996x) | ownT=9.0mm
# G1 393939 s04-handheld         tie+box  TANGENTIAL   176.1mm of 181 (0.973x, cross -143.1mm) | RADIAL   172.7mm (0.954x) | POINTING dYaw=1.1344 dShiftAsYaw=-0.1187 dPointing=1.0157 (1.016x) | ownT=9.0mm
393939  s06-six-cameras      none        base     posErr=   52.70 rotErr= 0.1406 grid=  2.6905 ownT=    1.2mm ownR=   40.5mm
393939  s06-six-cameras      none        tie+box  posErr=   26.90 rotErr= 0.1903 grid=  2.6280 ownT=    1.6mm ownR=   20.2mm
393939  s06-six-cameras      tangential  base     posErr=   51.57 rotErr= 0.1648 grid=  3.0475 ownT=    1.6mm ownR=   20.2mm
393939  s06-six-cameras      tangential  tie+box  posErr=   29.29 rotErr= 0.1920 grid=  3.1503 ownT=    1.6mm ownR=   20.2mm
393939  s06-six-cameras      pointing    base     posErr=   48.19 rotErr= 0.1761 grid=  2.3629 ownT=    1.6mm ownR=   20.2mm
393939  s06-six-cameras      pointing    tie+box  posErr=   28.92 rotErr= 0.2085 grid=  2.4204 ownT=    1.6mm ownR=   20.2mm
393939  s06-six-cameras      radial      base     posErr=   40.96 rotErr= 0.1771 grid=  2.4418 ownT=    1.6mm ownR=   20.2mm
393939  s06-six-cameras      radial      tie+box  posErr=   28.26 rotErr= 0.2279 grid=  2.4037 ownT=    1.6mm ownR=   20.2mm
# G1 393939 s06-six-cameras      base     TANGENTIAL   181.6mm of 181 (1.003x, cross -53.0mm) | RADIAL   167.1mm (0.923x) | POINTING dYaw=0.8838 dShiftAsYaw=0.1102 dPointing=0.9940 (0.994x) | ownT=1.6mm
# G1 393939 s06-six-cameras      tie+box  TANGENTIAL   182.0mm of 181 (1.005x, cross -17.2mm) | RADIAL   165.8mm (0.916x) | POINTING dYaw=0.9354 dShiftAsYaw=0.0618 dPointing=0.9972 (0.997x) | ownT=1.6mm
